Volume,OpenInterest,VEX,Market,TmrwGEX
1653.4920000000002,1368.9779999999998,4717.840999999999,AMZN,19226183
1625.977,1513.7759,4438.9853,AAPL,19179206
1534.4151,1011.4555,4079.3454,GOOGL,19105039
1443.7241,1186.7185,3831.9962,AMZN,18290199
1421.0734,913.9177,3661.6842,GOOGL,16618794
1318.769,998.1471,3628.6136,AMZN,15699112
1346.1546,1471.9887,1277.1682,AAPL,15612251
1302.9813,1455.3006,3238.7668,GOOGL,15575260
1205.4252,1487.1895,3116.1329,AMZN,15221177
1233.3488,1086.7917,3049.8162,AAPL,14975996
1019.1308,1105.9411,2291.6095,GOOGL,14612195
1006.7196,917.9061,2497.4455,AAPL,14425940
938.6375,1273.2038,2498.3944,GOOGL,14158552
919.9239,1354.9507,2526.6493,AAPL,13430735
1199.4324,1565.4742,2565.1292,GOOGL,13260265
1145.2361,1226.1684,2617.7623,AMZN,12991704
780.1311,1215.9755,2643.4606,AAPL,12699293
946.5716,1450.7758,2825.7431,AMZN,12537037
917.4916,1141.7579,2949.1957,GOOGL,12426690
864.197,1535.1411,0.0,AMZN,12277686
762.5386,1138.673,2986.6447,AAPL,11847403
783.8947,1537.7343,2997.3729,AMZN,11131302
739.9456,1227.8275,3033.1926,GOOGL,11035225
675.3253,1057.5103,3047.6873,GOOGL,10873399
770.4401,992.8134,1405.7481,AMZN,10855204
646.6471,1395.5316,1379.6262,AAPL,10740434
753.2887,1441.3598,1340.5007,GOOGL,10573354
721.076,1278.6455,3531.8381,AMZN,10500831
660.5152,1826.4556,1181.482,GOOGL,10328238
656.0548,1530.3206,1071.3838,AMZN,10100464
619.9448,1156.4128,911.3124,GOOGL,9993759
611.3638,1527.0192,882.1823,AMZN,9748356
634.0886,1292.1961,460.8525,AAPL,9742784
554.9395,1030.5749,2146.3481,GOOGL,9677892
464.2607,1576.9392,2107.9767,AAPL,9671280
460.1402,850.4744,2055.1764,AMZN,9647951
286.6376,1270.5621,2011.2682,GOOGL,9070819
440.6995,512.8314,1970.2942,AAPL,8994914
202.2959,659.4793,1852.651,AMZN,8122906
385.5851,829.8209,1749.993,AAPL,8100576
287.5433,1185.4605,1727.9567,AAPL,7823991
278.9292,847.1077,1644.7071,GOOGL,7779883
236.4093,961.8963,1480.0111,AAPL,7149849
155.0573,1273.823,355.3417,AMZN,6975898
221.7774,1548.0614,283.3472,AAPL,6520033
10.0023,1241.5304,19.0393,AMZN,6492608
13.1546,1158.1621,2971.1446,GOOGL,4949075
0.0,1354.2692,0.0,AAPL,4255973
5.4205,517.4315,0.0,AMZN,3567341
0.0,1169.838,451.7306,AAPL,1468140
